utc_timestamp,FR_Biomass_generation_actual,FR_Energy_storage_generation_actual,FR_Fossil_Gas_generation_actual,FR_Fossil_Hard_coal_generation_actual,FR_Fossil_Oil_generation_actual,FR_Hydro_Pumped_Storage_generation_actual,FR_Hydro_Run-of-river_and_poundage_generation_actual,FR_Hydro_Water_Reservoir_generation_actual,FR_Nuclear_generation_actual,FR_Solar_generation_actual,FR_Waste_generation_actual,FR_Wind_Offshore_generation_actual,FR_Wind_Onshore_generation_actual,FR_price_day_ahead,DK_1_price_day_ahead,DK_2_price_day_ahead,DK_price_day_ahead,temp_raw,cloud_raw,u10_raw,v10_raw,temperature_france,cloud_cover_france,wind_speed_france,temperature_denmark,cloud_cover_denmark,wind_speed_denmark,cet_cest_timestamp,FR_load_actual_entsoe_transparency,FR_load_forecast_entsoe_transparency,DK_1_load_actual_entsoe_transparency,DK_1_load_forecast_entsoe_transparency,DK_2_load_actual_entsoe_transparency,DK_2_load_forecast_entsoe_transparency,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency
2020-01-01 00:00:00+00:00,348.0,,5576.0,44.0,203.0,374.0,5920.0,2359.0,49462.0,0.0,216.0,,2810.0,38.6,31.77,31.77,63.54,4.194275,0.49115872,0.20157363,0.7855293,4.194275,0.49115872,0.81097984,3.71698,0.25056475,5.681554,2020-01-01 01:00:00+01:00,63142.0,65200.0,1892.6,1833.0,1337.38,1299.0,3229.98,3132.0
2020-01-01 01:00:00+00:00,347.0,,4257.0,44.0,203.0,,5793.0,1765.0,49565.0,0.0,216.0,,2655.0,36.55,31.57,31.57,63.14,4.179535,0.50129056,0.24283582,0.8130504,4.179535,0.50129056,0.84854,3.817688,0.30029356,6.0913076,2020-01-01 02:00:00+01:00,61612.0,64700.0,1830.97,1742.0,1293.37,1246.0,3124.34,2988.0
2020-01-01 02:00:00+00:00,348.0,,2874.0,44.0,201.0,,5559.0,1296.0,49580.0,0.0,217.0,,2736.0,32.32,31.28,31.28,62.56,4.1058655,0.51915944,0.2597339,0.81959313,4.1058655,0.51915944,0.8597643,3.981964,0.35305086,6.430838,2020-01-01 03:00:00+01:00,58419.0,61250.0,1782.09,1723.0,1241.41,1234.0,3023.5,2957.0
2020-01-01 03:00:00+00:00,348.0,,2823.0,44.0,200.0,,5400.0,960.0,49271.0,0.0,217.0,,2631.0,30.85,30.85,30.85,61.7,4.027588,0.52140874,0.31693715,0.8518614,4.027588,0.52140874,0.9089098,4.1903687,0.37457597,6.67906,2020-01-01 04:00:00+01:00,56268.0,58650.0,1745.69,1730.0,1197.14,1202.0,2942.83,2932.0
2020-01-01 04:00:00+00:00,347.0,,2834.0,44.0,200.0,,5347.0,940.0,49438.0,0.0,218.0,,2533.0,30.14,30.14,30.14,60.28,3.9381714,0.53082985,0.38890806,0.8510474,3.9381714,0.53082985,0.9356982,4.490814,0.46650067,6.8187666,2020-01-01 05:00:00+01:00,55937.0,57750.0,1781.79,1746.0,1183.64,1194.0,2965.4300000000003,2940.0
2020-01-01 05:00:00+00:00,348.0,,2841.0,44.0,200.0,,5224.0,986.0,49542.0,0.0,217.0,,2341.0,30.17,30.17,30.17,60.34,3.9273987,0.54367113,0.44633025,0.80501,3.9273987,0.54367113,0.92046285,4.769409,0.5450991,7.082054,2020-01-01 06:00:00+01:00,56162.0,57900.0,1860.62,1810.0,1209.29,1216.0,3069.91,3026.0
2020-01-01 06:00:00+00:00,348.0,,2994.0,42.0,200.0,,5226.0,985.0,49289.0,0.0,218.0,,2185.0,30.0,30.0,30.0,60.0,3.9027405,0.52658206,0.48139992,0.7837572,3.9027405,0.52658206,0.91979414,4.9705505,0.5917748,7.2813997,2020-01-01 07:00:00+01:00,56390.0,58000.0,1904.66,1911.0,1224.31,1230.0,3128.9700000000003,3141.0
2020-01-01 07:00:00+00:00,349.0,,3061.0,42.0,200.0,,5345.0,935.0,48860.0,175.0,217.0,,1917.0,30.65,30.63,30.63,61.26,3.8893433,0.53178775,0.50178796,0.73515016,3.8893433,0.53178775,0.89007694,5.0610657,0.6639313,7.4099956,2020-01-01 08:00:00+01:00,56153.0,57950.0,1967.11,1968.0,1270.37,1273.0,3237.48,3241.0
2020-01-01 08:00:00+00:00,349.0,,3345.0,42.0,200.0,,5444.0,784.0,48797.0,640.0,217.0,,1694.0,30.65,30.59,30.59,61.18,4.007202,0.5438662,0.48714444,0.76878756,4.007202,0.5438662,0.9101341,5.1263123,0.6468466,7.526338,2020-01-01 09:00:00+01:00,56766.0,58450.0,2052.73,2052.0,1343.11,1346.0,3395.84,3398.0
2020-01-01 09:00:00+00:00,349.0,,3446.0,44.0,203.0,,5446.0,1036.0,48703.0,1464.0,216.0,,1623.0,30.27,30.27,30.27,60.54,4.555176,0.52467614,0.44707596,0.8198253,4.555176,0.52467614,0.9338043,5.2443542,0.57859445,7.71318,2020-01-01 10:00:00+01:00,58512.0,60550.0,2160.27,2162.0,1438.4,1441.0,3598.67,3603.0
